Club Type,Club Brand,Club Model,Carry Distance,Total Distance,Ball Speed,Launch Angle,Launch Direction,Apex,Side Carry,Club Speed,Smash Factor,Descent Angle,Spin Rate,Spin Axis,Shot Type
pw,Mizuno,JPX 923 Hot Metal HL,79.4,89.3,71.7,19.4,-2.6,29.8,-0.8,62.9,1.14,31.6,7532.0,7.4,
pw,Mizuno,JPX 923 Hot Metal HL,90.0,97.3,75.5,22.8,-1.4,43.0,-0.4,69.0,1.09,38.3,7846.0,3.3,
pw,Mizuno,JPX 923 Hot Metal HL,94.2,103.1,78.9,19.6,-2.0,38.9,-1.4,69.6,1.13,35.0,7553.0,3.4,
pw,Mizuno,JPX 923 Hot Metal HL,111.5,118.0,87.4,23.0,1.8,61.5,7.3,72.9,1.2,43.5,8175.0,5.1,
pw,Mizuno,JPX 923 Hot Metal HL,98.1,105.2,79.2,25.2,-2.3,54.8,-4.1,70.1,1.13,42.7,7301.0,-0.9,
pw,Mizuno,JPX 923 Hot Metal HL,91.6,98.3,77.0,21.8,0.9,42.1,3.9,71.8,1.07,37.5,8432.0,4.7,
pw,Mizuno,JPX 923 Hot Metal HL,32.5,122.3,97.8,1.1,-4.6,0.6,-1.8,74.6,1.31,1.6,3239.0,18.7,
pw,Mizuno,JPX 923 Hot Metal HL,79.3,93.6,66.7,26.8,-0.5,37.9,0.7,71.2,0.94,35.9,2277.0,4.2,
pw,Mizuno,JPX 923 Hot Metal HL,103.5,109.8,82.3,25.4,-0.3,60.5,3.3,72.9,1.13,44.3,7721.0,5.7,
pw,Mizuno,JPX 923 Hot Metal HL,96.2,102.6,79.7,22.2,1.4,46.3,9.5,71.8,1.11,39.1,8825.0,13.3,
pw,Mizuno,JPX 923 Hot Metal HL,71.6,82.9,62.4,30.8,3.5,41.2,7.8,71.2,0.88,40.8,3021.0,12.8,
pw,Mizuno,JPX 923 Hot Metal HL,99.2,105.4,80.5,23.8,-0.0,52.5,6.2,70.1,1.15,41.6,8237.0,10.7,
pw,Mizuno,JPX 923 Hot Metal HL,102.5,108.1,82.9,23.6,2.3,55.1,11.7,72.9,1.14,42.4,9167.0,12.3,
pw,Mizuno,JPX 923 Hot Metal HL,85.9,93.2,72.9,25.1,-1.2,44.2,4.9,69.6,1.05,39.8,7154.0,15.4,
pw,Mizuno,JPX 923 Hot Metal HL,115.2,122.6,89.0,23.3,-7.4,65.1,-20.8,71.8,1.24,44.3,7078.0,-8.4,
d,TaylorMade,Qi10 Max,153.6,163.4,112.5,16.7,11.3,74.7,4.7,87.7,1.28,43.3,6337.0,-21.3,
d,TaylorMade,Qi10 Max,136.3,176.1,120.9,4.6,5.3,14.6,16.6,84.3,1.43,11.7,2791.0,6.7,
d,TaylorMade,Qi10 Max,162.3,191.6,121.7,9.0,11.3,30.1,37.7,88.2,1.38,18.7,2258.0,7.8,
d,TaylorMade,Qi10 Max,72.2,114.5,127.5,5.3,-4.1,5.6,-11.3,87.6,1.46,6.5,2003.0,-74.1,
d,TaylorMade,Qi10 Max,6.3,150.2,127.0,0.3,-0.7,0.0,-0.1,87.5,1.45,0.3,2280.0,-65.6,
d,TaylorMade,Qi10 Max,112.8,177.5,129.1,2.0,2.1,5.4,3.8,89.7,1.44,5.3,2482.0,-1.6,
d,TaylorMade,Qi10 Max,110.3,162.4,121.0,5.0,3.0,9.6,1.9,84.2,1.44,8.3,1832.0,-15.3,
d,TaylorMade,Qi10 Max,57.1,78.9,59.6,21.4,9.9,18.8,9.7,84.2,0.71,25.3,868.0,-2.0,
d,TaylorMade,Qi10 Max,106.0,150.2,111.7,2.3,0.5,11.8,4.1,85.2,1.31,14.3,11911.0,5.2,
d,TaylorMade,Qi10 Max,56.9,66.9,55.9,26.7,3.2,26.6,3.3,83.5,0.67,34.9,4160.0,0.4,
d,TaylorMade,Qi10 Max,142.3,179.8,123.6,8.6,7.5,22.0,5.9,86.2,1.43,14.6,1775.0,-30.0,
d,TaylorMade,Qi10 Max,12.1,153.3,124.8,0.2,1.0,0.0,0.2,86.2,1.45,0.2,2000.0,-10.8,
d,TaylorMade,Qi10 Max,161.1,187.4,118.2,8.2,10.2,34.5,39.6,83.4,1.42,23.4,3397.0,11.4,
d,TaylorMade,Qi10 Max,190.7,212.8,126.1,11.6,8.8,55.9,45.4,84.2,1.5,30.2,2894.0,13.3,
d,TaylorMade,Qi10 Max,181.0,204.5,126.1,8.6,6.3,45.6,37.3,87.8,1.44,28.0,3651.0,13.8,
d,TaylorMade,Qi10 Max,58.2,74.6,59.0,21.7,5.8,20.4,5.9,83.9,0.7,27.3,2231.0,-0.4,
d,TaylorMade,Qi10 Max,196.4,216.6,125.8,13.6,9.7,66.3,48.4,85.9,1.46,33.3,2733.0,11.8,
d,TaylorMade,Qi10 Max,166.5,198.7,123.3,7.2,4.0,32.1,26.6,85.5,1.44,21.6,3331.0,14.9,
d,TaylorMade,Qi10 Max,175.5,202.1,124.4,9.2,8.6,37.2,34.7,83.8,1.48,22.2,2598.0,8.6,
d,TaylorMade,Qi10 Max,83.3,105.3,88.0,6.9,-5.0,12.2,-3.1,84.9,1.04,15.0,6839.0,11.2,
d,TaylorMade,Qi10 Max,174.6,201.3,123.3,8.1,12.7,49.5,41.6,83.8,1.47,31.5,4644.0,2.0,
d,TaylorMade,Qi10 Max,98.9,140.6,125.9,6.3,3.7,9.8,-4.1,85.9,1.46,8.8,2066.0,-57.3,
d,TaylorMade,Qi10 Max,101.4,147.7,125.7,6.1,7.1,9.9,2.4,85.9,1.46,8.8,1890.0,-52.2,
d,TaylorMade,Qi10 Max,115.7,165.8,130.8,4.5,3.0,9.1,-2.2,88.1,1.48,7.6,1883.0,-30.4,
d,TaylorMade,Qi10 Max,166.2,191.3,118.2,10.6,13.5,37.8,37.3,81.0,1.46,22.8,2405.0,-2.2,
d,TaylorMade,Qi10 Max,147.2,186.8,128.1,5.8,4.3,17.5,3.1,88.1,1.45,12.2,2228.0,-15.4,
d,TaylorMade,Qi10 Max,192.8,219.2,125.9,14.6,11.4,57.4,21.7,85.8,1.47,28.0,1841.0,-19.0,
d,TaylorMade,Qi10 Max,168.1,194.0,123.3,14.3,6.6,44.7,-7.1,86.4,1.43,24.4,1883.0,-42.7,
d,TaylorMade,Qi10 Max,171.9,196.8,124.1,9.3,3.4,36.1,26.0,84.4,1.47,21.9,2651.0,17.3,
d,TaylorMade,Qi10 Max,178.5,191.7,119.2,21.0,6.2,110.9,38.8,87.4,1.36,49.4,4134.0,12.8,
d,TaylorMade,Qi10 Max,141.3,180.9,118.7,8.7,-5.2,22.3,-14.1,82.0,1.45,14.8,1638.0,-3.7,
d,TaylorMade,Qi10 Max,137.0,182.4,127.9,6.3,-2.7,15.9,-16.8,86.4,1.48,11.3,1933.0,-25.9,
d,TaylorMade,Qi10 Max,50.0,122.4,113.7,3.2,-7.2,2.3,-8.0,82.6,1.38,3.8,1296.0,-43.9,
d,TaylorMade,Qi10 Max,162.8,194.6,123.2,8.9,-1.8,29.2,-8.9,83.1,1.48,17.8,2142.0,-6.3,
pw,Mizuno,JPX 923 Hot Metal HL,83.4,110.3,93.6,2.0,2.4,1.7,11.8,72.9,1.28,3.3,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,100.9,111.8,81.9,21.2,4.1,45.9,14.2,72.9,1.12,37.2,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,113.2,123.3,87.0,22.8,-3.4,58.6,-8.5,72.4,1.20,41.2,,,Left
pw,Mizuno,JPX 923 Hot Metal HL,97.2,107.1,81.2,20.6,4.3,43.1,14.5,71.8,1.13,36.0,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,68.6,78.7,63.8,24.6,6.2,30.6,7.6,74.0,0.86,34.5,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,73.1,93.6,74.9,12.8,4.4,16.3,5.8,70.1,1.07,19.8,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,81.4,90.0,68.9,27.5,5.6,43.2,11.5,72.3,0.95,40.3,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,43.7,88.5,91.2,4.4,1.7,5.4,3.9,70.0,1.30,7.6,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,93.6,104.1,77.7,22.2,2.1,43.0,8.1,70.0,1.11,36.9,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,108.1,117.8,86.1,22.4,0.0,56.0,6.1,71.6,1.20,40.4,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,92.5,105.6,83.4,15.7,4.6,31.6,18.3,71.0,1.17,28.9,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,64.7,104.4,86.9,5.4,-0.1,5.9,-0.0,71.9,1.21,8.5,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,98.7,114.5,83.7,17.1,-0.7,36.1,6.8,70.2,1.19,31.5,,,Straight
9i,Mizuno,JPX 923 Hot Metal HL,121.6,132.6,92.4,20.2,-0.2,59.0,7.3,77.9,1.19,40.7,,,Straight
9i,Mizuno,JPX 923 Hot Metal HL,127.0,137.7,95.0,21.3,-1.8,67.2,-5.1,78.4,1.21,43.1,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,74.4,97.6,90.9,9.5,15.3,20.0,29.5,77.2,1.18,20.1,,,Right
9i,Mizuno,JPX 923 Hot Metal HL,82.5,100.4,77.3,14.4,-8.7,22.2,-12.3,75.5,1.02,24.1,,,Left
